Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_neg,proba_sentiment_neu,proba_sentiment_pos,y_true,is_penalty_day,ohlc_flag_high_low_ok,ml_imputed_mask,sent_missing_or_neutral_mask,y_true_orig,volume_log1p,volume_winsor_p99
2023-10-28,34089.57421875,34399.390625,33874.8046875,33907.72265625,10160330825,81.40911657924246,1843.2091174972304,1302.338108062042,29835.6888671875,30797.53061434516,35706.48144407624,23964.896290298755,1285.812639508929,116.90921409384444,0.459016,0.151402,0.5101773083209992,0.0036357142857142,0.7725928571428572,0.2237714285714285,1,,,,,,,
2023-10-29,34538.48046875,34743.26171875,33947.56640625,34089.37109375,11160323986,82.63649680717798,1906.947620707695,1423.2600105911729,30183.42900390625,31153.81155285991,36310.86010787174,24055.997899940765,1308.985491071429,107.00105929157434,0.459016,0.140285,0.5049252033233642,0.0,0.8432857142857142,0.1567142857142857,0,,,,,,,
2023-10-30,34502.36328125,34843.93359375,34110.97265625,34531.7421875,17184860315,82.16647640068018,1932.2724544685152,1525.0624993666413,30538.99619140625,31472.721241278014,36807.84631375527,24270.146069057235,1195.792271205357,94.63662634927957,0.459016,0.136656,0.5101773083209992,0.0289760869565217,0.5536173913043478,0.4174021739130435,1,,,,,,,
2023-10-31,34667.78125,34719.25390625,34083.30859375,34500.078125,15758270810,82.65312939292686,1943.289384928201,1608.7078764789535,30928.71923828125,31777.01267068011,37207.16681984853,24650.271656713976,1204.890764508929,83.99565880332067,0.459016,0.127745,0.5101773083209992,0.0315770491803278,0.6410491803278688,0.3273704918032787,1,,,,,,,
2023-11-02,34938.2421875,35919.84375,34401.57421875,35441.578125,20998158544,78.1734433196306,1966.1626755538016,1741.3907871440151,31766.5353515625,32393.477084870792,37847.81224535359,25685.258457771408,1308.1953125,80.58545613338373,0.491803,0.579558,0.490926569700241,0.0223130434782608,0.7421369565217392,0.235545652173913,0,,,,,,,
2023-11-03,34732.32421875,34942.47265625,34133.44140625,34942.47265625,17158456701,75.57129465541624,1907.7468647126952,1774.6620026577514,32160.0662109375,32616.224430954528,37914.79686241358,26405.33555946142,1258.667829241071,63.85629934291824,0.491803,0.578772,0.5200268924236298,0.1000375,0.5414513888888889,0.3585069444444444,1,,,,,,,
2023-11-04,35082.1953125,35256.03125,34616.69140625,34736.32421875,9561294264,76.9737668545823,1868.1487313361904,1793.3593483934392,32556.193359375,32851.078800625524,37940.41511178578,27171.97160696422,1246.7827845982142,69.38653609523008,0.491803,0.585438,0.5096095860004425,0.33325,0.6667,5e-05,0,,,,,,,
2023-11-05,35049.35546875,35340.33984375,34594.2421875,35090.01171875,12412743996,76.52964594878034,1813.215405897776,1797.3305598943064,32882.68779296875,33060.438483304046,38022.63417986421,27742.74140607328,1265.8525390625,65.47247512006415,0.491803,0.582363,0.5200268924236298,0.0,1.0,0.0,0,,,,,,,
2023-11-06,35037.37109375,35286.02734375,34765.36328125,35044.7890625,12693436420,76.35650352164319,1748.5570337634235,1787.57585466813,33213.7689453125,33248.71777953699,37981.80499534502,28445.73289527998,990.4327566964286,63.48952332851325,0.491803,0.582913,0.5200268924236298,0.0007543478260869,0.7016108695652173,0.2976369565217391,1,,,,,,,
2023-11-07,35443.5625,35892.41796875,34545.81640625,35047.79296875,18834737789,78.16004279709017,1710.3749223759623,1772.1356682096964,33569.52998046875,33457.75061005728,37838.40286313122,29300.65709780629,924.4991629464286,71.5608952103819,0.491803,0.584132,0.5020205855369568,0.0095571428571428,0.4772081632653061,0.5132326530612245,1,,,,,,,
2023-11-08,35655.27734375,35994.41796875,35147.80078125,35419.4765625,17295394918,79.05677491228329,1677.857644039621,1753.2800633756815,33916.303515625,33667.038870408964,37615.12402225553,30217.483008994463,883.2112165178571,87.83717654445222,0.491803,0.590934,0.5065595030784606,0.0292826923076923,0.6540442307692308,0.3166711538461538,1,,,,,,,
2023-11-09,36693.125,37926.2578125,35592.1015625,35633.6328125,37762672382,82.78770213604881,1716.051525111834,1745.8343557229118,34266.8123046875,33955.23754941764,37585.60625637345,30948.018353001546,973.4662388392856,157.233808092026,0.491803,0.603941,0.5176535189151764,0.0486720930232558,0.6532244186046512,0.2981023255813954,1,,,,,,,
2023-11-10,37313.96875,37493.80078125,36362.75390625,36702.25,22711265155,84.55969687251824,1775.945360423546,1751.8565566630386,34636.59013671875,34275.11671137786,37537.05229182364,31736.127981613856,995.5892857142856,186.85221972599595,0.491803,0.615654,0.5364717483520508,0.0455478260869565,0.6354507246376812,0.319,0,,,,,,,
2023-11-11,37138.05078125,37407.09375,36773.66796875,37310.0703125,13924272142,81.98416962727845,1788.5986941672163,1759.204984163874,34993.7978515625,34547.77709898473,37151.32993894609,32836.26576417891,1003.3635602678572,186.082557463302,0.491803,0.62349,0.5594420492649078,8.947368421052632e-05,0.3229263157894737,0.6769736842105264,0,,,,,,,
2023-11-12,37054.51953125,37227.69140625,36779.1171875,37133.9921875,11545715999,80.72685426367892,1771.465922095529,1761.6571717502054,35192.212109375,34786.51447348618,37340.96442462456,33043.45979412545,978.5691964285714,156.86740236280502,0.491803,0.623451,0.5518530488014222,0.0,1.0,0.0,0,,,,,,,
2023-11-13,36502.35546875,37405.1171875,36399.60546875,37070.3046875,19057712790,72.78107450193247,1693.8078885966825,1748.087315119501,35322.253515625,34949.92790160655,37456.870037058354,33187.63699419165,998.037109375,114.95273956261678,0.491803,0.620901,0.519617211818695,0.0686,0.3627833333333333,0.5686166666666667,0,,,,,,,
2023-11-14,35537.640625,36753.3515625,34948.5,36491.7890625,23857403554,61.40841826017883,1536.7047364839527,1705.8107993923911,35373.99453125,35005.90054192973,37474.88004495381,33273.10901754619,1081.530412946429,31.60402280390848,0.491803,0.60806,0.5390745162963867,0.0328606557377049,0.4389901639344262,0.5281491803278688,1,,,,,,,
2023-11-15,37880.58203125,37964.89453125,35383.78125,35548.11328125,27365821679,72.60456899136992,1583.0072253673206,1681.2500845873772,35560.1912109375,35279.6797313888,37857.68801974047,33262.694402134526,1168.950055803571,114.66667659022433,0.491803,0.625774,0.5169574797153473,0.0803968253968253,0.4264698412698413,0.4931253968253968,0,,,,,,,
2023-11-16,36154.76953125,37934.625,35545.47265625,37879.98046875,26007385366,59.02136373424662,1463.5724833201891,1637.7145643339395,35672.4396484375,35363.02161708987,37846.4766698548,33498.40262702021,1231.155970982143,67.91472237325038,0.5,0.612684,0.5036898970603942,0.1702509803921568,0.5166137254901961,0.3131313725490196,1,,,,,,,
2023-11-17,36596.68359375,36704.484375,35901.234375,36164.82421875,22445028430,61.031743840980646,1388.571770367933,1587.8860055407386,35797.7951171875,35480.513233914644,37874.48578623805,33721.10444813695,1230.743024553571,50.45509516043028,0.491803,0.621025,0.5161042153835297,0.0641901960784313,0.6909235294117647,0.2448843137254902,0,,,,,,,
2023-11-18,36585.703125,36839.28125,36233.3125,36625.37109375,11886022717,60.951728282066576,1313.110413478069,1532.9308871282049,35900.15625,35585.76941401801,37916.42843586913,33883.88406413087,1228.359375,54.76441129374164,0.491803,0.618804,0.5134444832801819,0.0606444444444444,0.7236,0.2157555555555555,1,,,,,,,
2023-11-19,37386.546875,37509.35546875,36414.59765625,36585.765625,12915986553,64.5973075821824,1302.9090180403946,1486.926513310643,36044.3654296875,35757.272029349624,38052.246502499685,34036.48435687532,1253.263671875,86.99144997873319,0.491803,0.623443,0.5134444832801819,0.0,1.0,0.0,1,,,,,,,
2023-11-20,37476.95703125,37756.8203125,36882.53125,37374.07421875,20888209068,64.9946394516854,1287.2807119363424,1446.9973530357831,36184.82421875,35921.051553340134,38180.22929181955,34189.41914568045,1278.522600446429,98.45077425212348,0.491803,0.623801,0.5102501392364502,0.0629645833333333,0.6694749999999999,0.26755625,0,,,,,,,
2023-11-21,35813.8125,37631.140625,35813.8125,37469.16015625,25172163756,53.17237603412908,1127.6939486846022,1383.136672165547,36203.6521484375,35910.83831016489,38176.33374204463,34230.97055483037,1312.1459263392858,20.23628594385359,0.491803,0.604669,0.5056869089603424,0.0993717391304347,0.5264413043478261,0.3741826086956522,1,,,,,,,
2023-11-22,37432.33984375,37856.98046875,35670.97265625,35756.5546875,24397247860,60.66997268774563,1118.9236636020796,1330.2940704528537,36328.35703125,36055.743218125375,38279.43663030437,34377.27743219563,1407.816685267857,62.57066135919538,0.5,0.616898,0.5134444832801819,0.19343125,0.6089125,0.197653125,0,,,,,,,
2023-11-23,37289.62109375,37643.91796875,36923.86328125,37420.43359375,14214948217,59.761344951887054,1087.9161192941028,1281.8184802211035,36456.221875,36173.25539675629,38299.08004429785,34613.363705702155,1292.523716517857,86.71490307510518,0.491803,0.619904,0.5134444832801819,0.1815755102040816,0.4158244897959183,0.4026102040816326,1,,,,,,,
2023-11-24,37720.28125,38415.33984375,37261.60546875,37296.31640625,22922957823,61.62882361228104,1085.579211069395,1242.5706263907618,36588.126171875,36320.59119230331,38394.16993430392,34782.08240944609,1294.144252232143,132.11966489777717,0.491803,0.625083,0.5259430050849915,0.0208868421052631,0.6238578947368422,0.3552552631578947,1,,,,,,,
2023-11-25,37796.79296875,37892.4296875,37617.41796875,37721.4140625,9099571165,61.96654295985852,1077.4805259381392,1209.5526063002374,36725.498046875,36461.18183767919,38455.065157262754,34995.930936487246,1268.543247767857,123.0501075662994,0.491803,0.626615,0.5227513611316681,0.0,0.9727375,0.0272625,0,,,,,,,
2023-11-26,37479.12109375,37820.30078125,37162.75,37796.828125,13744796068,59.62026104780944,1033.5150757533847,1174.3451001908668,36847.585546875,36558.128433495454,38412.2768251943,35282.894268555705,1283.4701450892858,87.42093409872811,0.491803,0.621065,0.5134444832801819,0.4958,0.00045,0.5036999999999999,0,,,,,,,
2023-11-27,37254.16796875,37559.35546875,36750.12890625,37454.19140625,19002925720,57.947044456974446,969.3462820103014,1133.3453365547537,36938.1158203125,36624.41791304351,38364.14034395032,35512.091296674684,1269.4497767857142,43.079534339452245,0.491803,0.61649,0.5063140690326691,0.0430634146341463,0.4527756097560976,0.5041585365853659,1,,,,,,,
2023-11-28,37831.0859375,38368.48046875,36891.08984375,37247.9921875,21696137014,60.97214420241469,954.0468510063438,1097.4856394450717,37046.90625,36739.33867727746,38390.456703167925,35703.355796832075,1246.059709821429,118.40991113661354,0.491803,0.620305,0.5120282113552094,0.0379647058823529,0.6685352941176471,0.2934980392156863,1,,,,,,,
2023-11-29,37858.4921875,38366.11328125,37612.6328125,37826.10546875,20728546658,61.11524523645854,933.3740420886388,1064.663319973785,37105.174609375,36845.924725870085,38484.72172598497,35725.62749276502,1115.514508928571,142.99459875178147,0.491803,0.622876,0.5286859393119812,0.063088,0.6823186666666667,0.2545933333333333,0,,,,,,,
