Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_neg,proba_sentiment_neu,proba_sentiment_pos,y_true
2025-04-08,76271.953125,80823.890625,76198.023438,79218.476562,48314590749,34.293728,-1935.602383,-1350.681712,83540.407812,82703.260783,89530.935420,77549.880205,3595.101004,-196.347700,0.545455,0.446165,,,,,1
2025-04-09,82573.953125,83541.000000,74589.671875,76273.562500,84213627038,48.322239,-1707.110133,-1421.967396,83460.745703,82690.945741,89458.547948,77462.943458,4060.859933,-101.486774,0.545455,0.439918,,,,,0
2025-04-10,79626.140625,82700.929688,78456.132812,82565.976562,44718000633,43.629844,-1743.781709,-1486.330258,83239.890625,82399.058949,89468.248617,77011.532633,4224.860491,-89.110866,0.545455,0.445277,,,,,1
2025-04-11,83404.835938,84247.476562,78936.320312,79625.046875,41656778779,50.293160,-1451.217172,-1479.307641,83218.508203,82494.847409,89441.233972,76995.782434,4323.356027,-29.110484,0.436364,0.439770,,,,,1
2025-04-12,85287.109375,85856.187500,82769.375000,83404.515625,24258059104,53.257182,-1055.313998,-1394.508913,83180.144922,82760.777560,89338.383503,77021.906341,4334.328683,44.000085,0.436364,0.439915,,,,,0
2025-04-13,83684.976562,86015.187500,83027.007812,85279.468750,28796984817,50.497038,-860.908668,-1287.788864,82989.448047,82848.796645,88811.625585,77167.270509,4409.787946,39.406121,0.436364,0.441060,,,,,1
2025-04-14,84542.390625,85785.000000,83690.640625,83694.523438,34090769777,51.932790,-630.390136,-1156.309118,82842.982422,83010.091528,88328.010754,77357.954089,4375.772879,61.432858,0.436364,0.438906,,,,,0
2025-04-15,83668.992188,86429.351562,83598.820312,84539.695312,28040322885,50.331412,-512.271515,-1027.501598,82681.387891,83072.844049,87844.001994,77518.773788,4359.524554,65.589289,0.400000,0.439935,,,,,1
2025-04-16,84033.867188,85428.281250,83100.617188,83674.507812,29617804112,51.011033,-384.784464,-898.958171,82524.226172,83164.370163,87286.435710,77762.016634,4088.399554,60.508910,0.400000,0.439157,,,,,1
2025-04-17,84895.750000,85449.070312,83749.750000,84030.671875,21276866029,52.658863,-211.763827,-761.519302,82551.356250,83329.263647,87363.358488,77739.354012,4022.122768,81.701487,0.400000,0.439622,,,,,0
2025-04-18,84450.804688,85095.046875,84298.882812,84900.187500,12728372364,51.692185,-109.286581,-631.072758,82644.017187,83436.077176,87530.562248,77757.472127,3862.891741,72.406004,0.436364,0.441331,,,,,1
