Date,close,ret,open,high,low,volume,SMA20,EMA20,RSI,MACD,MACD_SIGNAL,BB_UPPER,BB_LOWER,ATR,CCI,proba_lstm,signal,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_pos,proba_sentiment_neu,proba_sentiment_neg
2025-01-20,102016.664062,0.009171,101083.750000,109114.882812,99471.359375,126279678351,97976.921875,98804.356869,57.773812,1281.457228,464.658483,105060.099659,90893.744091,4582.927455,129.878765,0.417649,0.000000,0.545455,0.504827,0.513283,0.284900,0.623300,0.091800
2025-01-21,106146.265625,0.040480,102052.578125,107180.921875,100103.953125,88733878242,98563.247266,99507.448126,64.176297,1684.946787,708.718373,106316.323363,90810.171168,4618.453125,133.693568,0.403007,0.000000,0.545455,0.498174,0.514121,0.172700,0.780800,0.046500
2025-01-22,103653.070312,-0.023488,106136.382812,106294.343750,103360.265625,53878181052,98901.557031,99904.241175,58.417370,1785.979873,924.172248,106932.161679,90870.952383,4489.996094,115.753810,0.408611,0.000000,0.545455,0.514023,0.514426,0.456000,0.492600,0.051400
2025-01-23,103960.171875,0.002963,103657.671875,106820.328125,101257.804688,104104515428,99194.194141,100292.264950,58.906529,1868.859900,1113.110883,107523.933110,90864.455171,4592.399554,94.647545,0.397436,0.000000,0.545455,0.515552,0.511726,0.256200,0.652900,0.090900
2025-01-24,104819.484375,0.008266,103965.671875,107098.546875,102772.125000,52388229265,99523.357031,100725.189867,60.313343,1980.062715,1286.502060,108206.502748,90840.211314,4649.964286,98.398764,0.401433,0.000000,0.545455,0.516065,0.510514,0.221200,0.730000,0.048800
2025-01-25,104714.648438,-0.001000,104824.031250,105243.789062,104120.375000,23888996502,99843.341406,101106.541915,60.043275,2036.302352,1436.462679,108806.157319,90880.525493,4648.948103,84.326716,0.392648,0.000000,0.545455,0.521205,0.510126,0.307700,0.692300,0.000000
2025-01-26,102682.500000,-0.019407,104713.210938,105438.648438,102507.710938,22543395879,99873.562109,101257.134648,54.910593,1896.873052,1528.545030,108872.109369,90875.014849,4740.084263,60.516867,0.398486,0.000000,0.545455,0.532741,0.510142,0.128100,0.871800,0.000100
2025-01-27,102087.687500,-0.005793,102680.304688,103214.109375,97795.937500,89006608428,100131.811328,101336.473963,53.469811,1719.055145,1566.647144,109070.040637,91193.582019,4657.318080,17.570908,0.409398,0.000000,0.576923,0.541158,0.510133,0.158284,0.434057,0.407659
2025-01-28,101332.476562,-0.007398,102095.414062,103730.820312,100238.187500,47180685494,100446.258984,101336.092218,51.617921,1500.489884,1553.415666,109067.653509,91824.864460,4690.327009,25.454250,0.419732,0.000000,0.576923,0.540706,0.508962,0.310300,0.646400,0.043300
2025-01-29,103703.210938,0.023396,101317.523438,104750.804688,101283.820312,47432049818,101007.217578,101562.089489,56.689040,1499.530083,1542.638533,108874.236085,93140.199071,4638.283482,46.781328,0.415101,0.000000,0.545455,0.529284,0.509737,0.271027,0.680668,0.048305
2025-01-30,104735.304688,0.009952,103709.335938,106418.765625,103321.648438,41915744521,101508.910156,101864.976346,58.717676,1563.298893,1546.770610,108951.030188,94066.790124,4615.424665,73.527147,0.407196,0.000000,0.545455,0.526764,0.509365,0.213500,0.688100,0.098400
2025-01-31,102405.023438,-0.022249,104737.562500,106026.351562,101543.882812,45732764360,101900.831641,101916.513453,52.714136,1410.988000,1519.614061,108591.196718,95210.466563,4497.935268,37.485129,0.407760,0.000000,0.576923,0.536990,0.507748,0.457000,0.486500,0.056500
2025-02-01,100655.906250,-0.017080,102402.796875,102755.726562,100297.710938,27757944848,102209.205078,101796.235917,48.689991,1137.055671,1443.102323,107964.185474,96454.224682,4481.608817,-25.654437,,,0.576923,0.536990,0.507748,0.272950,0.673250,0.053800
2025-02-02,97688.976562,-0.029476,100661.539062,101430.664062,96216.078125,63091816853,102367.827734,101404.420804,42.731123,674.403009,1289.362364,107353.511217,97382.144252,4373.417411,-133.528677,,,0.666667,0.545548,0.518332,0.088900,0.860000,0.051100
2025-02-03,101405.421875,0.038044,97681.101562,102514.171875,91242.890625,115400897748,102611.396484,101404.516287,50.846099,598.880670,1151.265956,106811.086954,98411.706014,4489.685826,-150.025936,,,0.666667,0.502337,0.515425,0.033500,0.727900,0.238600
2025-02-04,97871.820312,-0.034846,101398.718750,101745.617188,96208.109375,73002130211,102479.762891,101067.613257,44.403511,252.631841,971.539061,107101.351561,97858.174220,4379.724330,-137.984694,,,0.666667,0.580269,0.518549,0.229100,0.677100,0.093800
2025-02-05,96615.445312,-0.012837,97878.007812,99113.210938,96174.828125,49125911241,102322.689844,100643.077610,42.348892,-121.194250,752.992328,107512.527530,97132.852157,4380.031808,-170.195293,0.483424,1.000000,0.666667,0.590286,0.517119,0.276600,0.589700,0.133700
2025-02-06,96593.296875,-0.000229,96610.640625,99168.609375,95707.351562,45302471947,101929.252734,100256.956588,42.311723,-414.433998,519.507003,107606.385921,96252.119548,4229.941406,-145.118487,0.475617,1.000000,0.555556,0.606766,0.516800,0.292900,0.551200,0.155900
2025-02-07,96529.085938,-0.000665,96581.320312,100154.140625,95653.882812,55741290456,101535.303516,99901.565186,42.196095,-644.538278,286.697899,107570.378030,95500.229001,4242.358259,-117.844848,0.485132,1.000000,0.611111,0.622844,0.517044,0.246800,0.568600,0.184600
2025-02-08,96482.453125,-0.000483,96533.257812,96877.804688,95702.492188,22447526395,101304.945703,99575.639992,42.106100,-821.163047,65.125673,107749.469290,94860.422116,4246.065290,-125.675908,0.465382,1.000000,0.555556,0.632423,0.516952,0.387900,0.575400,0.036700
