date,proba_rfc_cal,proba_sgd_cal,y_true,month
2022-01-07,0.666667,0.512850,1,2022-01
2022-01-08,0.677419,0.520284,1,2022-01
2022-01-09,0.666667,0.522023,0,2022-01
2022-01-10,0.720430,0.521228,1,2022-01
2022-01-11,0.709677,0.521562,1,2022-01
2022-01-12,0.611111,0.519973,0,2022-01
2022-01-13,0.500000,0.519074,1,2022-01
2022-01-14,0.774194,0.520417,1,2022-01
2022-01-15,0.666667,0.520580,0,2022-01
2022-01-16,0.731183,0.519903,0,2022-01
2022-01-17,0.892473,0.519372,1,2022-01
2022-01-18,1.000000,0.518285,0,2022-01
2022-01-19,0.903226,0.518376,0,2022-01
2022-01-20,0.849462,0.519096,0,2022-01
2022-01-21,1.000000,0.520555,0,2022-01
2022-01-22,1.000000,0.522000,1,2022-01
2022-01-23,1.000000,0.524290,1,2022-01
2022-01-24,1.000000,0.523750,1,2022-01
2022-01-25,0.666667,0.526053,0,2022-01
2022-01-26,0.650794,0.525518,1,2022-01
2022-01-27,0.666667,0.525750,1,2022-01
2022-01-28,0.709677,0.525346,1,2022-01
2022-01-29,0.650794,0.525202,0,2022-01
2022-01-30,0.619048,0.524743,1,2022-01
2022-01-31,0.666667,0.522510,1,2022-01
2022-02-02,0.529412,0.517110,1,2022-02
2022-02-03,0.529412,0.511503,1,2022-02
2022-02-04,0.529412,0.489722,0,2022-02
2022-02-05,0.529412,0.510848,1,2022-02
2022-02-06,0.529412,0.510060,1,2022-02
2022-02-07,0.666667,0.496476,1,2022-02
2022-02-08,0.666667,0.495506,1,2022-02
2022-02-09,0.666667,0.503808,0,2022-02
2022-02-10,0.666667,0.498413,0,2022-02
2022-02-11,0.529412,0.503952,0,2022-02
2022-02-12,0.529412,0.508584,0,2022-02
2022-02-13,0.500000,0.511157,1,2022-02
2022-02-14,0.529412,0.504476,1,2022-02
2022-02-15,0.529412,0.497495,0,2022-02
2022-02-16,0.529412,0.507528,0,2022-02
2022-02-17,0.529412,0.511039,0,2022-02
2022-02-18,0.666667,0.504964,1,2022-02
2022-02-19,0.666667,0.511665,0,2022-02
2022-02-20,0.529412,0.514428,0,2022-02
2022-02-21,0.666667,0.504982,1,2022-02
2022-02-22,0.666667,0.500982,0,2022-02
2022-02-23,0.666667,0.511643,1,2022-02
2022-02-24,0.666667,0.484665,1,2022-02
2022-02-25,0.500000,0.501820,0,2022-02
2022-02-26,0.500000,0.512808,0,2022-02
2022-02-27,0.529412,0.512343,1,2022-02
2022-02-28,0.529412,0.477967,1,2022-02
